"ROTARACT ZONE INSTITUTE 2026 CHENNAI | MARCH 5-8 | MERMAID RESORTS, OMR",,,,,,
"AGENDA | DAY 2 - MARCH 6, 2026 (FRIDAY)",,,,,,
,,,,,,
START TIME,END TIME,DURATION (min),SEQUENCE,SPEAKER,LOCATION,NOTES
6:00 AM,8:00 AM,120,Activity: Mission Possible,Mr. Binu Joseph,,Management Games - Briefing Needed
8:00 AM,9:00 AM,60,Refreshing & Breakfast,,,
9:00 AM,9:30 AM,30,Assembling,,,Need Sing Along
9:30 AM,10:15 AM,45,General Session 3: Expanding Reach & Enhancing Engagement,PRID Rtn. A S Venkatesh,,Converting Annettes to Rotaractors
10:15 AM,10:20 AM,5,Buffer,,,
10:20 AM,10:35 AM,15,General Session 4: Inclusivity is Everyone's Responsibility,DGN Rtn. Dr. Vijaya Bharathi Rangarajan,,Presentation
10:35 AM,10:50 AM,15,Tea Break,,,
10:50 AM,10:55 AM,5,Assembling,,,
10:55 AM,11:40 AM,45,Breakout 1 (DRR): Membership Growth & New Club Development,PDG Rtn. Sridhar J,,"Workbook
New Clubs, Formats & Models"
,,,"Breakout 1 (DRS): Data, Documentation & Delivery",PDRR Solomon Victor,,"Workbook
Introduction to District Secretaries, 
Roles & Responsibilities "
11:40 AM,11:45 AM,5,Buffer,,,
11:45 AM,12:30 PM,45,Breakout 2 (DRR): Building to Last,IPDG Rtn. N S Saravanan,,"Workbook
Clubs to look after their own health"
,,,Breakout 2 (DRS): What Not to Do as a DRS?,PDRR Rtn. Thansen Paandi,,"Why where you choosen, 
Managing Burnouts"
12:30 PM,1:30 PM,60,Lunch,,,Birthday celebration
1:30 PM,1:40 PM,10,Buffer,,,
1:40 PM,2:40 PM,60,General Session 5: Team Building & Delegation That Works,PDRR Rtn. Thansen Paandi,,Workbook
2:40 PM,2:55 PM,15,Assembling,,,
2:55 PM,3:35 PM,40,Breakout 3 (DRR): Increasing our Impact,PDRR Solomon Victor,,"Workbook
Long-term permanent solutions"
2:55 PM,3:15 PM,20,Breakout 3A (DRS): Organise to Optimise,PDRR Rtn./Rtr. Arun Teja Godavarthi,,
3:35 PM,3:55 PM,20,Breakout 3B (DRS): Organise to Optimise,,,
3:35 PM,3:50 PM,15,Buffer,,,
3:50 PM,4:20 PM,30,Breakout 4A (DRR): From Service to Significance,DGND Rtn. Ambalavannan,,Workbook
4:20 PM,4:25 PM,5,Buffer,,,
4:25 PM,4:55 PM,30,Breakout 4B (DRRE/DRRN): Pitch Perfect,DGND Rtn. Ravi Sundaresan,,
3:50 PM,4:50 PM,60,Breakout 4 (DRSD): Silent Gaurdians - Remembered Not Rewareded,Rtn. Vidya Ragu,,
4:55 PM,5:10 PM,15,High Tea,,,
5:10 PM,5:25 PM,15,Centenary Celebrations: Rotary Club of Madras,Rtn. Sesha Sai,,10+5
5:25 PM,6:25 PM,60,House of DRRs & RZI Bidding,,,
6:25 PM,6:55 PM,30,Buffer,,,
6:55 PM,8:55 PM,120,Dinner,Rtn. Ravi Das & Rtn. Ravi Varma,VGP Marine Kingdom,
