"ROTARACT ZONE INSTITUTE 2026 CHENNAI | MARCH 5-8 | MERMAID RESORTS, OMR",,,,,,
"AGENDA | DAY 3 - MARCH 7, 2026 (SATURDAY)",,,,,,
,,,,,,
START TIME,END TIME,DURATION (min),SEQUENCE,SPEAKER,LOCATION,NOTES
6:00 AM,8:00 AM,120,Morning Activity: RZI League,,,Cricket Match w/ Zone Leaders
8:00 AM,9:00 AM,60,Refreshing & Breakfast,,,
9:00 AM,9:30 AM,30,Assembling,,,
9:30 AM,10:15 AM,45,General Session 6: Rotaract Around the World,PDRR Rtn. Becky Giblin,,
10:15 AM,10:20 AM,5,Buffer,,,
10:20 AM,11:05 AM,45,General Session 7: The Art of Storytelling,PDRR Harikrishnan Pillai,,Public Image
11:05 AM,11:20 AM,15,Tea Break,,,
11:20 AM,11:50 AM,30,General Session 8: Keep it Light; Say it Right,PDRR Rtn. Subhadra,,Fundraising & Sponsorship
11:50 AM,11:55 AM,5,Buffer,,,
11:55 AM,12:25 PM,30,Special: Best Practices Around the Zones,"DRR Rtr. Sathish Kumar (RID 3234): Effective Use of Digital Media 
DRR Rtr. Sideesh (RID 3131 or 3141): Sustainable Membership
DRR Rtr. Dinesh Kumar (RID 3233): Institutional Membership",,
12:25 PM,12:30 PM,5,Buffer,,,
12:30 PM,12:50 PM,20,General Session 9: Rotary & Rotaract Relationship,PDRR Rtn. Karthik Kittu,,
12:50 PM,1:50 PM,60,Lunch,,,
1:50 PM,2:05 PM,15,Assembling,,,
2:05 PM,3:05 PM,60,Breakout 5 (DRR): What Not To Do As DRR?,PDRR Sujith Kumar,,
3:05 PM,3:35 PM,30,Breakout 5A (DRS): Panel: Expectations vs Reality ,,,
3:35 PM,4:05 PM,30,Breakout 5B (DRS): Networking,,,
4:05 PM,4:10 PM,5,Buffer,,,
4:10 PM,4:40 PM,30,Panel Discussion: The Core of 3234: Netru Indru Naalai,"IPDRR Rtn./Rtr. Sasikumar J
DRR Rtr. Sathish Kumar S
DRRE Rtr. Vignesh Chandran",,
4:40 PM,5:00 PM,20,General Session 10: Your Year Ahead,IPDRR Sasikumar,,"Review, Reflection & Handover"
5:00 PM,5:15 PM,15,High Tea,,,
5:15 PM,5:20 PM,5,Buffer,,,
5:20 PM,6:50 PM,90,"Valedictory, RSA Team Introduction & DRRs Graduation ","Kumar, Ravi Varma, Sesha Sai, Saravanan sir",,PHF Recognitions
6:50 PM,7:05 PM,15,Gratitude,DRR Rtr. PP. PHF. Sathish Kumar,,
7:05 PM,8:35 PM,90,Fellowship,DJ Tamzz,,
